Team Name,Conference,Wins ,Losses,Pct
Bucks,Eastern,42,7,0.857
Raptors,Eastern,36,14,0.72
Celtics ,Eastern,34,15,0.694
Heat,Eastern,34,15,0.694
Pacers,Eastern,31,19,0.62
76ers,Eastern,31,20,0.608
Nets ,Eastern,22,27,0.449
Magic,Eastern,22,28,0.44
Bulls,Eastern,19,33,0.365
Wizards ,Eastern,17,32,0.347
Pistons ,Eastern,18,34,0.346
Hornets,Eastern,16,34,0.32
Knicks,Eastern,15,36,0.294
Cavaliers ,Eastern,13,38,0.255
Hawks,Eastern,13,38,0.255
Lakers,Western,37,11,0.771
Clippers,Western,35,15,0.7
Nuggets,Western,34,16,0.68
Jazz,Western,32,17,0.653
Rockets ,Western,31,18,0.633
Mavs,Western,31,19,0.62
Thunder,Western,30,20,0.6
Grizzlies,Western,25,25,0.5
Trailblazers,Western,23,27,0.46
Spurs ,Western,22,27,0.449
Pelicans ,Western,20,30,0.4
Suns,Western,20,30,0.4
Kings,Western,19,31,0.38
Timberwolves,Western,15,34,0.306
Warriors,Western,12,39,0.235
