Player,Age,Tm,Pos,MP,PTS
Steven Adams\adamsst01,26,OKC,C,1322,524
Bam Adebayo\adebaba01,22,MIA,PF,1865,855
LaMarcus Aldridge\aldrila01,34,SAS,C,1661,954
Nickeil Alexander-Walker\alexani01,21,NOP,SG,501,211
Grayson Allen\allengr01,24,MEM,SG,498,221
Jarrett Allen\allenja01,21,BRK,C,1410,586
Kadeem Allen\allenka01,27,NYK,SG,117,50
Al-Farouq Aminu\aminual01,29,ORL,PF,380,78
Justin Anderson\anderju01,26,BRK,SF,17,3
Kyle Anderson\anderky01,26,MEM,PF,868,255
Ryan Anderson\anderry01,31,HOU,PF,14,5
Giannis Antetokounmpo\antetgi01,25,MIL,PF,1482,1438
Kostas Antetokounmpo\antetko01,22,LAL,PF,5,0
Thanasis Antetokounmpo\antetth01,27,MIL,SF,61,30
Carmelo Anthony\anthoca01,35,POR,PF,1299,602
OG Anunoby\anunoog01,22,TOR,SF,1574,553
Ryan Arcidiacono\arcidry01,25,CHI,PG,765,214
Trevor Ariza\arizatr01,34,TOT,SF,1138,303
D.J. Augustin\augusdj01,32,ORL,PG,1013,417
Deandre Ayton\aytonde01,21,PHO,C,760,431
Dwayne Bacon\bacondw01,24,CHO,SG,687,224
Marvin Bagley\baglema01,20,SAC,PF,334,185
Lonzo Ball\balllo01,22,NOP,PG,1503,559
Mo Bamba\bambamo01,21,ORL,C,747,273
J.J. Barea\bareajo01,35,DAL,PG,263,153
Harrison Barnes\barneha02,27,SAC,PF,1870,783
RJ Barrett\barrerj01,19,NYK,SG,1372,614
Will Barton\bartowi01,29,DEN,SF,1598,725
Keita Bates-Diop\bateske01,24,TOT,SF,665,258
Nicolas Batum\batumni01,31,CHO,SF,505,79
Aron Baynes\baynear01,33,PHO,C,756,378
Kent Bazemore\bazemke01,30,TOT,SF-SG,1333,434
Darius Bazley\bazleda01,19,OKC,PF,909,238
Bradley Beal\bealbr01,26,WAS,SG,1635,1340
Malik Beasley\beaslma01,23,TOT,SG,844,391
Marco Belinelli\belinma01,33,SAS,SG,710,256
Jordan Bell\belljo01,25,MIN,C,235,83
DeAndre' Bembry\bembrde01,25,ATL,SG,915,249
Dragan Bender\bendedr01,22,MIL,SF,91,26
DÄÅvis BertÄÅns\bertada01,27,WAS,PF,1291,660
Patrick Beverley\beverpa01,31,LAC,PG,1121,338
Khem Birch\birchkh01,27,ORL,C,773,153
Goga Bitadze\bitadgo01,20,IND,C,362,128
Bismack Biyombo\biyombi01,27,CHO,C,866,338
Nemanja Bjelica\bjeline01,31,SAC,PF,1535,665
Eric Bledsoe\bledser01,30,MIL,PG,1246,721
Bogdan BogdanoviÄ‡\bogdabo01,27,SAC,SG,1213,620
Bojan BogdanoviÄ‡\bogdabo02,30,UTA,SF,1763,1112
Jonah Bolden\boldejo01,24,TOT,PF,40,10
Marques Bolden\boldema01,21,CLE,C,3,0
Jordan Bone\bonejo01,22,DET,PG,48,6
Isaac Bonga\bongais01,20,WAS,SF,850,231
Devin Booker\bookede01,23,PHO,SG,1866,1374
Chris Boucher\bouchch01,27,TOR,PF,607,297
Brian Bowen\bowenbr02,21,IND,SG,10,2
Ky Bowman\bowmaky01,22,GSW,PG,875,280
Avery Bradley\bradlav01,29,LAL,SG,911,332
Tony Bradley\bradlto01,22,UTA,C,420,181
Jarrell Brantley\brantja01,23,UTA,PF,11,0
Ignas Brazdeikis\brazdig01,21,NYK,SF,53,17
Mikal Bridges\bridgmi01,23,PHO,SF,1413,444
Miles Bridges\bridgmi02,21,CHO,SF,1657,704
Oshae Brissett\brissos01,21,TOR,SF,128,33
Ryan Broekhoff\broekry01,29,DAL,SG,180,71
Malcolm Brogdon\brogdma01,27,IND,PG,1262,680
Dillon Brooks\brookdi01,24,MEM,SG,1528,848
Bruce Brown\brownbr01,23,DET,SG,1507,472
Charlie Brown\brownch02,22,ATL,SG,40,20
Jaylen Brown\brownja02,23,BOS,SF,1480,889
Moses Brown\brownmo01,20,POR,C,33,11
Sterling Brown\brownst02,24,MIL,SF,556,197
Troy Brown\browntr01,20,WAS,SG,1292,511
Jalen Brunson\brunsja01,23,DAL,PG,1002,460
Thomas Bryant\bryanth01,22,WAS,C,738,373
Reggie Bullock\bullore01,28,NYK,SG,545,206
Trey Burke\burketr01,27,PHI,PG,329,147
Alec Burks\burksal01,28,TOT,SG,1404,775
Deonte Burton\burtode02,26,OKC,SG,254,81
Jimmy Butler\butleji01,30,MIA,SF,1582,949
Bruno Caboclo\cabocbr01,24,MEM,SF,192,62
Kentavious Caldwell-Pope\caldwke01,26,LAL,SG,1343,504
Vlatko ÄŒanÄçar\cancavl01,22,DEN,SF,38,15
Clint Capela\capelca01,25,HOU,C,1279,543
DeMarre Carroll\carrode01,33,SAS,SF,135,33
Jevon Carter\carteje01,24,PHO,PG,578,172
Vince Carter\cartevi01,43,ATL,SF,749,258
Wendell Carter\cartewe01,20,CHI,C,1109,433
Michael Carter-Williams\cartemi01,28,ORL,SG,566,206
Alex Caruso\carusal01,25,LAL,PG,908,273
Willie Cauley-Stein\caulewi01,26,TOT,C,1051,373
Tyson Chandler\chandty01,37,HOU,C,219,34
Wilson Chandler\chandwi01,32,BRK,SF,517,156
Zylan Cheatham\cheatzy01,24,NOP,SF,31,4
Chris Chiozza\chiozch01,24,TOT,PG,146,34
Marquese Chriss\chrisma01,22,GSW,PF,959,434
Gary Clark\clarkga01,25,TOT,PF,370,107
Brandon Clarke\clarkbr01,23,MEM,PF,1025,580
Jordan Clarkson\clarkjo01,27,TOT,SG,1277,812
Nicolas Claxton\claxtni01,20,BRK,PF,183,62
Chris Clemons\clemoch01,22,HOU,SG,246,139
Antonius Cleveland\clevean01,25,DAL,SG,22,5
Amir Coffey\coffeam01,22,LAC,SG,54,19
John Collins\collijo01,22,ATL,PF,967,619
Zach Collins\colliza01,22,POR,PF,86,27
Mike Conley\conlemi01,32,UTA,PG,893,433
Pat Connaughton\connapa01,27,MIL,SG,914,247
Quinn Cook\cookqu01,26,LAL,PG,387,171
Tyler Cook\cookty01,22,CLE,PF,35,19
Robert Covington\covinro01,29,TOT,PF,1538,664
Allen Crabbe\crabbal01,27,TOT,SG,642,172
Torrey Craig\craigto01,29,DEN,SF,760,207
Jae Crowder\crowdja01,29,TOT,SF,1413,501
Jarrett Culver\culveja01,20,MIN,SG,1268,472
Seth Curry\curryse01,29,DAL,SG,1203,588
Stephen Curry\curryst01,31,GSW,PG,112,81
Troy Daniels\danietr01,28,LAL,SG,446,169
Anthony Davis\davisan02,26,LAL,PF,1595,1225
Ed Davis\davised01,30,UTA,C,268,33
Terence Davis\daviste02,22,TOR,SG,954,437
Dewayne Dedmon\dedmode01,30,TOT,C,619,206
Matthew Dellavedova\dellama01,29,CLE,PG,565,120
DeMar DeRozan\derozde01,30,SAS,SF,1783,1196
Cheick Diallo\diallch01,23,PHO,C,420,193
Hamidou Diallo\diallha01,21,OKC,SF,606,205
Gorgui Dieng\dienggo01,30,TOT,C,791,348
Spencer Dinwiddie\dinwisp01,26,BRK,SG,1654,1111
Donte DiVincenzo\divindo01,23,MIL,SG,1124,451
Luka DonÄçiÄ‡\doncilu01,20,DAL,PG,1443,1271
Luguentz Dort\dortlu01,20,OKC,SG,416,115
Damyean Dotson\dotsoda01,25,NYK,SG,783,302
Sekou Doumbouya\doumbse01,19,DET,SF,571,196
PJ Dozier\doziepj01,23,DEN,PG,221,82
Goran DragiÄ‡\dragigo01,33,MIA,PG,1217,691
Andre Drummond\drumman01,26,TOT,C,1705,903
Jared Dudley\dudleja01,34,LAL,SF,297,58
Kris Dunn\dunnkr01,25,CHI,PG,1269,373
Carsen Edwards\edwarca01,21,BOS,SG,296,96
Henry Ellenson\ellenhe01,23,BRK,PF,15,2
Wayne Ellington\ellinwa01,32,NYK,SG,429,144
Joel Embiid\embiijo01,25,PHI,C,1188,893
James Ennis\ennisja01,29,TOT,SF,806,298
Drew Eubanks\eubandr01,22,SAS,PF,42,23
Jacob Evans\evansja02,22,TOT,SG,415,128
Dante Exum\exumda01,24,TOT,SG,430,135
Tacko Fall\fallta01,24,BOS,C,24,19
Derrick Favors\favorde01,28,NOP,C,859,341
Cristiano FelÃ_cio\feliccr01,27,CHI,PF,267,62
Terrance Ferguson\fergute01,21,OKC,SF,1024,186
Bruno Fernando\fernabr01,21,ATL,C,550,182
Yogi Ferrell\ferreyo01,26,SAC,PG,467,183
Dorian Finney-Smith\finnedo01,26,DAL,PF,1635,517
Bryn Forbes\forbebr01,26,SAS,SG,1367,597
Evan Fournier\fournev01,27,ORL,SG,1713,1008
De'Aaron Fox\foxde01,22,SAC,PG,1135,709
Melvin Frazier\frazime01,23,ORL,SG,48,18
Michael Frazier\frazimi01,25,HOU,SG,60,12
Tim Frazier\fraziti01,29,DET,PG,355,97
Markelle Fultz\fultzma01,21,ORL,PG,1523,643
Wenyen Gabriel\gabriwe01,22,TOT,PF,118,33
Daniel Gafford\gaffoda01,21,CHI,C,420,154
Danilo Gallinari\gallida01,31,OKC,PF,1443,908
Langston Galloway\gallola01,28,DET,SG,1480,577
Darius Garland\garlada01,20,CLE,PG,1616,648
Marc Gasol\gasolma01,35,TOR,C,974,272
Rudy Gay\gayru01,33,SAS,PF,1072,486
Paul George\georgpa01,29,LAC,SF,1001,739
Taj Gibson\gibsota01,34,NYK,C,857,301
Harry Giles\gilesha01,21,SAC,PF,349,157
Shai Gilgeous-Alexander\gilgesh01,21,OKC,SG,1955,1071
Rudy Gobert\goberru01,27,UTA,C,1797,810
Brandon Goodwin\goodwbr01,24,ATL,PG,355,173
Aaron Gordon\gordoaa01,24,ORL,PF,1580,694
Eric Gordon\gordoer01,31,HOU,SG,823,427
Devonte' Graham\grahade01,24,CHO,PG,1901,979
Treveon Graham\grahatr01,26,TOT,SG,784,198
Jerami Grant\grantje01,25,DEN,PF,1424,610
Josh Gray\grayjo01,26,NOP,PG,23,2
Danny Green\greenda02,32,LAL,SG,1299,449
Draymond Green\greendr01,29,GSW,PF,1194,339
JaMychal Green\greenja01,29,LAC,PF,952,294
Javonte Green\greenja02,26,BOS,SF,375,125
Jeff Green\greenje02,33,UTA,PF,553,233
Blake Griffin\griffbl01,30,DET,PF,512,279
Marko Guduric\gudurma01,24,MEM,SG,434,148
Kyle Guy\guyky01,22,SAC,SG,4,2
Rui Hachimura\hachiru01,21,WAS,PF,864,416
Devon Hall\hallde01,24,OKC,SG,20,5
Tim Hardaway\hardati02,27,DAL,SG,1424,767
James Harden\hardeja01,30,HOU,SG,1891,1800
Maurice Harkless\harklma01,26,TOT,SF,1166,279
Jared Harper\harpeja01,22,PHO,PG,8,2
Montrezl Harrell\harremo01,26,LAC,C,1533,1016
Gary Harris\harriga01,25,DEN,SG,1476,470
Joe Harris\harrijo01,28,BRK,SF,1634,720
Tobias Harris\harrito02,27,PHI,PF,1884,1046
Shaquille Harrison\harrish01,26,CHI,SF,253,112
Josh Hart\hartjo01,24,NOP,SF,1351,510
Isaiah Hartenstein\harteis01,21,HOU,C,266,107
Udonis Haslem\hasleud01,39,MIA,PF,11,5
Jaxson Hayes\hayesja02,19,NOP,C,928,412
Gordon Hayward\haywago01,29,BOS,SF,1227,639
John Henson\hensojo01,29,TOT,PF,453,164
Dewan Hernandez\hernade01,23,TOR,C,11,4
Juan HernangÃ_mez\hernaju01,24,TOT,PF,512,152
Willy HernangÃ_mez\hernawi01,25,CHO,C,254,137
Tyler Herro\herroty01,20,MIA,SG,1273,603
Kevin Hervey\herveke01,23,OKC,PF,13,0
Mario Hezonja\hezonma01,24,POR,PF,633,175
